00:00:00:000;2,0,0
00:00:01:000;2,60,0
00:00:02:000;2,120,0
00:00:03:000;2,180,0
00:00:04:000;2,240,0
00:00:05:000;2,300,0
00:00:06:000;2,360,0
00:00:07:000;2,420,0
00:00:08:000;2,480,0
00:00:09:000;2,540,0
00:00:10:000;2,600,0
00:00:11:000;2,660,0
00:00:12:000;2,720,0
00:00:13:000;2,780,0
00:00:14:000;2,840,0
00:00:15:000;2,900,0
00:00:16:000;2,960,0
00:00:17:000;2,1020,0
00:00:18:000;2,1080,0
00:00:19:000;2,1140,0
00:00:20:000;2,1200,0
00:00:21:000;2,1260,0
00:00:22:000;2,1320,0
00:00:23:000;2,1380,0
00:00:24:000;2,1440,0
00:00:25:000;2,1500,0
00:00:26:000;2,1560,0
00:00:27:000;2,1620,0
00:00:28:000;2,1680,0
00:00:29:000;2,1740,0
00:00:30:000;2,1800,0
00:00:31:000;2,1860,0
00:00:32:000;2,1920,0
00:00:33:000;2,1980,0
00:00:34:000;2,2040,0
00:00:35:000;2,2100,0
00:00:36:000;2,2160,0
00:00:37:000;2,2220,0
00:00:38:000;2,2280,0
00:00:39:000;2,2340,0
00:00:40:000;2,2400,0
00:00:41:000;2,2460,0
00:00:42:000;2,2520,0
00:00:43:000;2,2580,0
00:00:44:000;2,2640,0
00:00:45:000;2,2700,0
00:00:46:000;2,2760,0
00:00:47:000;2,2820,0
00:00:48:000;2,2880,0
00:00:49:000;2,2940,0
00:00:50:000;2,3000,0
00:00:51:000;2,3060,0
00:00:52:000;2,3120,0
00:00:53:000;2,3180,0
00:00:54:000;2,3240,0
00:00:55:000;2,3300,0
00:00:56:000;2,3360,0
00:00:57:000;2,3420,0
00:00:58:000;2,3480,0
00:00:59:000;2,3540,0
00:01:00:000;2,3600,0
00:01:01:000;2,3660,0
00:01:02:000;2,3720,0
00:01:03:000;2,3780,0
00:01:04:000;2,3840,0
00:01:05:000;2,3900,0
00:01:06:000;2,3960,0
00:01:07:000;2,4020,0
00:01:08:000;2,4080,0
00:01:09:000;2,4140,0
00:01:10:000;2,4200,0
00:01:11:000;2,4260,0
00:01:12:000;2,4320,0
00:01:13:000;2,4380,0
00:01:14:000;2,4440,0
00:01:15:000;2,4500,0
00:01:16:000;2,4560,0
00:01:17:000;2,4620,0
00:01:18:000;2,4680,0
00:01:19:000;2,4740,0
00:01:20:000;2,4800,0
00:01:21:000;2,4860,0
00:01:22:000;2,4920,0
00:01:23:000;2,4980,0
00:01:24:000;2,5040,0
00:01:25:000;2,5100,0
